Category,Deer Park megawatthours,Mirant Sugar Creek Power Plant megawatthours,McCLAIN ENERGY megawatthours
10/1/2020 04H,133231,108778,107107
09/1/2020 04H,121405,280438,232936
08/1/2020 04H,127558,321294,318171
07/1/2020 04H,124922,333261,345188
06/1/2020 04H,126237,338347,269374
05/1/2020 04H,127579,310320,288696
04/1/2020 04H,112956,355976,150696
03/1/2020 05H,128143,373731,289017
02/1/2020 05H,125038,358675,283800
01/1/2020 05H,110296,386979,312983
12/1/2019 05H,130545,334373,285883
11/1/2019 04H,132855,333357,219072
10/1/2019 04H,131542,346227,206587
09/1/2019 04H,126714,344597,305426
08/1/2019 04H,124107,341553,352600
07/1/2019 04H,122363,353279,333981
06/1/2019 04H,111078,286651,262542
05/1/2019 04H,130787,174399,106989
03/1/2019 05H,89309,336161,270274
02/1/2019 05H,119714,349729,296463
01/1/2019 05H,123249,167087,316649
12/1/2018 05H,133714,131804,248733
09/1/2018 04H,117527,106347,341633
08/1/2018 04H,127596,315722,350232
07/1/2018 04H,124894,299000,342450
06/1/2018 04H,115615,326600,332633
05/1/2018 04H,124317,343970,225081
04/1/2018 04H,113519,328961,254700
03/1/2018 05H,79288,369531,295880
02/1/2018 05H,69735,338741,331215
01/1/2018 05H,112000,378917,306416
