Year,Month,Day,Event Date and Time,Restoration Date and Time,Total Hours Affected,Number of Customers Affected
2020,1,01/11,01/11/2020  2:25 AM,01/11/2020  7:56 AM,6,7541
2020,1,01/11,01/11/2020  3:30 AM,01/11/2020  5:30 PM,14,68138
2020,1,01/11,01/11/2020 12:50 PM,01/12/2020  1:33 PM,25,30715
2020,1,01/11,01/11/2020 11:02 PM,01/12/2020  2:01 AM,3,66475
2020,1,01/17,01/17/2020  5:28 AM,01/17/2020 10:13 AM,5,67864
2020,1,01/30,01/30/2020  3:01 AM,01/30/2020  4:36 AM,2,0
2020,2,02/06,02/06/2020  1:30 PM,02/07/2020  8:08 PM,31,89500
2020,2,02/06,02/06/2020  2:29 PM,02/07/2020 12:44 PM,22,284256
2020,2,02/07,02/07/2020  2:42 PM,02/10/2020  9:25 AM,67,7500
2020,2,02/07,02/07/2020  4:25 PM,02/08/2020 12:00 PM,20,123359
2020,2,02/09,02/09/2020  9:30 AM,02/09/2020  9:40 PM,12,145000
2020,2,02/11,02/11/2020  7:13 AM,02/11/2020  4:00 PM,9,0
2020,3,03/01,03/01/2020 11:27 AM,03/01/2020  9:47 PM,10,3136
2020,3,03/12,03/12/2020  1:03 AM,03/12/2020  3:00 AM,2,15864
2020,3,03/16,03/16/2020 12:01 PM,03/16/2020  1:10 PM,1,110800
2020,3,03/24,03/24/2020  2:55 AM,03/24/2020  6:50 AM,4,51026
2020,3,03/29,03/29/2020  8:27 PM,03/29/2020 11:04 PM,3,1558
2020,3,03/31,03/31/2020 11:45 AM,03/31/2020  8:00 PM,8,57744
2020,4,04/02,04/02/2020  1:37 PM,04/02/2020  2:43 PM,1,Unknown
2020,4,04/05,04/05/2020  3:46 PM,04/05/2020  5:35 PM,2,6814
2020,4,04/08,04/08/2020  1:21 AM,04/08/2020  3:56 AM,3,82509
2020,4,04/08,04/08/2020  9:57 PM,04/09/2020  8:59 AM,11,78314
2020,4,04/08,04/08/2020 10:03 PM,04/09/2020  7:36 AM,10,93000
2020,4,04/09,04/09/2020  7:25 PM,04/10/2020  3:30 AM,8,95000
2020,4,04/09,04/09/2020  7:40 PM,04/11/2020 10:00 PM,50,340000
2020,4,04/12,04/12/2020  5:00 PM,04/14/2020  1:25 AM,32,62828
2020,4,04/12,04/12/2020  6:13 PM,04/13/2020  3:23 PM,21,63289
2020,4,04/12,04/12/2020  8:30 PM,04/14/2020  9:00 AM,37,51000
2020,4,04/12,04/12/2020  9:28 PM,04/15/2020 12:00 PM,63,104000
2020,4,04/13,04/13/2020 12:45 AM,04/13/2020  3:00 AM,2,120000
2020,4,04/13,04/13/2020  3:30 AM,04/14/2020  6:18 PM,39,216400
2020,4,04/13,04/13/2020  7:31 AM,04/13/2020  2:00 PM,6,Unknown
2020,4,04/13,04/13/2020 10:25 AM,04/13/2020  6:55 PM,9,95000
2020,4,04/13,04/13/2020  1:05 PM,04/14/2020  4:00 PM,27,68476
2020,4,04/20,04/20/2020 12:59 AM,04/20/2020  8:40 AM,8,77341
2020,4,04/23,04/23/2020  4:30 AM,04/23/2020  7:00 AM,3,55184
