Date,Total Hours
1-Nov,12
Jan-17,5
Jan-30,2
2-Jun,26.5
2-Jul,43.5
2-Sep,12
2-Nov,9
3-Jan,10
3-Dec,2
Mar-16,1
Mar-24,4
Mar-29,3
Mar-31,8
4-Feb,1
4-May,2
4-Aug,8
4-Sep,29
4-Dec,38.25
Apr-13,16.6
Apr-20,8
Apr-23,9.5
Apr-24,1
Apr-28,3
Apr-29,10
5-Apr,80
May-13,9
May-15,48
May-22,23
May-25,2
May-27,37
May-29,2
6-Mar,28.33333333
6-Sep,1
6-Oct,15
Jun-27,10
Jun-29,2
7-Jul,10.33333333
7-Nov,7
7-Dec,25
Jul-19,52
Jul-22,3
Jul-25,33
Jul-30,2
8-Jan,226
8-Feb,3
8-Mar,56
8-Apr,67.7
8-May,3
8-Oct,47
Aug-13,3
Aug-14,15.6
Aug-15,3.666666667
Aug-16,28.66666667
Aug-17,3.5
Aug-18,5
Aug-19,6.25
Aug-27,62
Aug-28,3
9-Mar,9
9-May,3.5
9-Jun,5.5
9-Jul,28.75
9-Sep,2
Sep-15,113
Sep-16,125
Sep-22,3
Sep-27,21
Sep-30,18
10-Jul,44
10-Sep,44.2
Oct-13,25
Oct-14,19
Oct-23,7
Oct-24,3
Oct-25,51
Oct-26,108.6666667
Oct-28,38
Oct-29,57
11-Jul,5
Nov-15,26.33333333
Nov-30,12.5
12-Jan,10
12-Mar,43
12-Jul,27
Dec-13,1
Dec-16,8
Dec-25,9
