Name,State,Technology,N_Capacity_MW,MaxChargeRate_MW,MaxDischargeRate_MW
El Centro Hybrid,CA,Batteries,30.0,30.0,30.0
Harding Street,IN,Batteries,20.0,20.0,20.0
William F Wyman Hybrid,ME,Batteries,16.7,16.7,16.2
Nantucket Hybrid,MA,Batteries,6.0,6.0,6.0
Pebbly Beach Generating Station Hybrid,CA,Batteries,1.0,1.0,1.0
VESI Pomona,CA,Batteries,20.0,20.0,20.0
"Green Mountain Storage, LLC",PA,Batteries,10.4,10.4,10.4
Grapeland Hybrid,CA,Batteries,10.0,10.0,10.0
Center Hybrid,CA,Batteries,10.0,10.0,10.0
Notrees Windpower Hybrid,TX,Batteries,36.0,36.0,36.0
Pyron Wind Farm LLC Hybrid,TX,Batteries,9.9,9.9,9.9
Inadale Wind Farm LLC Hybrid,TX,Batteries,9.9,9.9,9.9
Kaheawa Wind Power II LLC,HI,Batteries,10.0,10.0,10.0
FPL Energy Illinois Wind LLC Hybrid,IL,Batteries,20.0,20.0,20.0
Laurel Mountain Hybrid,WV,Batteries,16.0,16.0,16.0
Battery Energy Storage System,AK,Batteries,40.0,4.0,40.0
